# Smart Library — Current Catalogue (auto-saved)
# Format : ISBN|Title|Author
# Traversal: Pre-order — DO NOT edit manually
1004|Pride and Prejudice|Jane Austen
1001|The Great Gatsby|F. Scott Fitzgerald
1002|To Kill a Mockingbird|Harper Lee
1003|1984|George Orwell
1007|The Lord of the Rings|J.R.R. Tolkien
1005|The Catcher in the Rye|J.D. Salinger
1006|Brave New World|Aldous Huxley
1015|The Adventures of Huckleberry Finn|Mark Twain
1012|One Hundred Years of Solitude|Gabriel Garcia Marquez
1009|The Hobbit|J.R.R. Tolkien
1008|Harry Potter and the Philosophers Stone|J.K. Rowling
1011|The Alchemist|Paulo Coelho
1010|Animal Farm|George Orwell
1013|Don Quixote|Miguel de Cervantes
1014|Crime and Punishment|Fyodor Dostoevsky
1018|The Odyssey|Homer
1016|Moby Dick|Herman Melville
1017|War and Peace|Leo Tolstoy
1019|Frankenstein|Mary Shelley
1020|The Picture of Dorian Gray|Oscar Wilde
